tool_id,description,type,note,source,discovered_by,date,backtesting,amount,context
vulsight,"Immunefi BBP: Critical vulnerability ($300K payout)",BBP report,"Non-disclosable program. Bug bounty payout on Immunefi.",https://immunefi.com/profile/vulsight/,,2026-02-10,false,300000,bbp
octane,"Immunefi BBP: 1 Critical + 1 Low across MUX/DeFi Saver ($100K total)",BBP report,"oct0pwn handle. 2 BBP reports (1 Critical, 1 Low). Programs secured: MUX, DeFi Saver + 1 undisclosed.",https://immunefi.com/profile/oct0pwn/,,2025-12-01,false,100000,bbp
octane,"Alchemix V3 audit competition (111th/183, 2M 1I, $15)",Audit competition,"oct0pwn handle. 3 valid findings in self-repaying loan protocol.",https://immunefi.com/audit-competition/alchemix-v3-audit-competition/leaderboard/,,2026-01-16,false,15,competition
kritt,"Shardeum Core III: 1st place (10 Critical, 1 Medium - $94,767)",Audit competition,"Blockian handle. 11 valid bugs in sharded EVM blockchain. Reward pool $250K.",https://immunefi.com/audit-competition/audit-comp-shardeum-core-iii/leaderboard/,,2025-02-12,false,94767,competition
kritt,"Shardeum Ancillaries III: bypass receipt signing + cycle data overwrite (1st, $49,315)",Audit competition,"Blockian handle. 3 Critical: receipt signing bypass, cycle data overwrite, TxID modification.",https://github.com/immunefi-team/Past-Audit-Competitions/tree/main/shardeum-ancillaries-iii,,2025-02-12,false,49315,competition
kritt,"L1 blockchain/DLT critical vulnerability ($40K bounty)",BBP report,"Blockian handle. Critical severity in L1 blockchain client. Received 30K IMU pledge.",https://immunefi.com/profile/Blockian/,,2025-11-01,false,40000,bbp
kritt,"Fuel Network Attackathon: incorrect signed integer math (6th, $70,876)",Audit competition,"Blockian handle. 4 High: IFP multiply/divide/floor/ceil bugs, signed integer subtraction overflow.",https://immunefi.com/audit-competition/fuel-network-attackathon/leaderboard/,,2024-07-29,false,70876,competition
kritt,"Shardeum Core: certificate signing bypass + reward theft (5th, $29,153)",Audit competition,"Blockian handle. 2 Critical: bypass certificate signing validation, steal rewards via faked appdata.",https://github.com/immunefi-team/Past-Audit-Competitions/tree/main/Shardeum%20Core,,2024-08-14,false,29153,competition
kritt,"Movement Labs Attackathon: 1 Critical + 4 High (9th, $16,675)",Audit competition,"Blockian handle. Move VM security findings. Reward pool $400K.",https://immunefi.com/audit-competition/movement-labs-attackathon/leaderboard/,,2025-04-04,false,16675,competition
kritt,"Fluid Protocol: lock issue bricks redeem functionality (3rd, $16,461)",Audit competition,"Blockian handle. 1 Critical: lock issue bricking redeem function. 2 Low, 2 Insight.",https://github.com/immunefi-team/Past-Audit-Competitions/tree/main/fluid-protocol,,2024-12-12,false,16461,competition
kritt,"Hinkal IOP: high-severity finding (1st, $4,000)",Audit competition,"Blockian handle. 1 High severity finding in privacy protocol.",https://immunefi.com/audit-competition/hinkal-iop/leaderboard/,,2024-05-07,false,4000,competition
kritt,"ThunderNFT IOP: incorrect token sale amount + deposited funds theft (6th, $3,899)",Audit competition,"Blockian handle. 2 Critical: incorrect token sale amount, theft of deposited funds. 2 Low, 1 Insight.",https://github.com/immunefi-team/Past-Audit-Competitions/tree/main/ThunderNFT%20%7C%20IOP,,2024-09-02,false,3899,competition
kritt,"Shardeum Ancillaries II: archiver data overwrite (4th, $3,827)",Audit competition,"Blockian handle. 1 High: malicious archiver/validator can overwrite data on any active archiver.",https://github.com/immunefi-team/Past-Audit-Competitions/tree/main/shardeum-ancillaries-ii,,2024-10-16,false,3827,competition
qed-audit,"CometBFT Tachyon: BFT Time consensus flaw (CSA-2026-001, Critical, $50K)",BBP report,"Consensus-level flaw in BFT Time: inconsistency between commit signature verification and block time derivation allows malicious validators to manipulate block timestamps. Reported with SEAL 911 via Cosmos HackerOne BBP.",https://github.com/cometbft/cometbft/security/advisories/GHSA-c32p-wcqj-j677,,2026-01-23,false,50000,bbp
qed-audit,"ZKsync vulnerability ($5K)",BBP report,,,,2026-01-26,false,5000,bbp
